energy_uj,cpu,commit_hash,repo,branch,workflow,run_id,label,source,cpu_util_avg,duration_us,workflow_name,filter_type,filter_project,filter_machine,filter_tags,lat,lon,city,ip,carbon_intensity_g,carbon_ug,start_time,min_carbon_intensity_g,min_carbon_intensity_time
8593530000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13452509428,Python long test scanner measurement,github,89.8397,1171443429,Testing,machine.ci,CI/CD,ubuntu-latest,[],36.6676,-78.3875,Boydton,20.57.79.176,490.0,4545057,2025-02-21 08:00:58+00:00,463.0,10.0
8621010000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13450646027,Python long test scanner measurement,github,89.2328,1179649479,Testing,machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,20.169.15.144,260.0,2578033,2025-02-21 08:01:49+00:00,147.0,13.0
5691970000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804500,13452523727,Daily Update Cache,github,24.4768,1505652640,Update cached database,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,74.235.134.182,490.0,3218648,2025-02-21 08:05:32+00:00,463.0,10.0
7148760000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13452509428,Python long test sync measurement,github,28.0577,1812302379,Testing,machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,20.169.14.20,260.0,2375751,2025-02-21 08:01:00+00:00,147.0,13.0
100846000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804487,13462917690,build pip wheel checkout,github,28.1162,25274544,Build pip wheel with Energy Measurement,machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,172.214.133.2,468.0,54405,2025-02-21 18:27:01+00:00,463.0,1.0
95171600,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13462924442,build docs,github,26.4152,24265887,Testing,machine.ci,CI/CD,ubuntu-latest,[],36.6676,-78.3875,Boydton,172.200.183.159,468.0,51464,2025-02-21 18:27:34+00:00,463.0,1.0
486363000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804488,13448131615,Perform CodeQL Analysis,github,61.7849,83125806,CodeQL,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,4.227.173.176,468.0,251336,2025-02-21 18:27:22+00:00,463.0,1.0
1208430000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13462924442,Synchronous tests measurement,github,47.2819,235198581,Testing,machine.ci,CI/CD,ubuntu-latest,[],36.6676,-78.3875,Boydton,20.246.79.250,468.0,632651,2025-02-21 18:27:35+00:00,463.0,1.0
1429470000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13462924442,Synchronous tests measurement,github,54.0039,261425954,Testing,machine.ci,CI/CD,ubuntu-latest,[],36.6676,-78.3875,Boydton,20.246.79.246,468.0,743581,2025-02-21 18:27:38+00:00,463.0,1.0
1461500000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13462924442,Synchronous tests measurement,github,49.7207,278257467,Testing,machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,172.183.76.143,468.0,763373,2025-02-21 18:27:35+00:00,463.0,1.0
1633630000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13462924442,Synchronous tests measurement,github,46.9747,318976800,Testing,machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,172.183.229.150,468.0,855548,2025-02-21 18:27:36+00:00,463.0,1.0
3469480000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13462924442,Python long tests measurement,github,48.3827,666966330,Testing,machine.ci,CI/CD,ubuntu-latest,[],37.3388,-121.8916,San Jose,52.225.35.224,109.0,568469,2025-02-21 18:27:24+00:00,68.0,1.0
3391900000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804488,13448131615,Perform CodeQL Analysis,github,34.5188,756384785,CodeQL,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,4.227.174.48,468.0,1803214,2025-02-21 18:27:23+00:00,463.0,1.0
8639200000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13462924442,Python long test scanner measurement,github,85.5702,1211999650,Testing,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,20.42.16.126,468.0,4388945,2025-02-21 18:27:24+00:00,463.0,1.0
76729600,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804487,13463701019,build pip wheel checkout,github,29.7717,18875923,Build pip wheel with Energy Measurement,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,20.42.49.181,457.0,40451,2025-02-21 19:18:29+00:00,457.0,24.0
505582000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804488,13448131615,Perform CodeQL Analysis,github,56.0269,90553987,CodeQL,machine.ci,CI/CD,ubuntu-latest,[],37.3388,-121.8916,San Jose,52.234.42.189,96.0,74371,2025-02-21 19:18:59+00:00,68.0,1.0
